[170] Error : 47.63997, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 6 out of 100, Valid Correct 0 out of 4
[171] Error : 47.63998, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 6 out of 100, Valid Correct 0 out of 4
[172] Error : 47.63998, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 6 out of 100, Valid Correct 0 out of 4
[173] Error : 47.63998, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 6 out of 100, Valid Correct 0 out of 4
[174] Error : 47.63996, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 6 out of 100, Valid Correct 0 out of 4
[175] Error : 47.63997, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 6 out of 100, Valid Correct 0 out of 4
[176] Error : 47.63997, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 6 out of 100, Valid Correct 0 out of 4
[177] Error : 47.63997, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 6 out of 100, Valid Correct 0 out of 4
[178] Error : 47.63998, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 6 out of 100, Valid Correct 0 out of 4
[179] Error : 47.63996, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[180] Error : 47.63997, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[181] Error : 47.63997, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[182] Error : 47.63997, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[183] Error : 47.63996, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 8 out of 100, Valid Correct 0 out of 4
[184] Error : 47.63997, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 8 out of 100, Valid Correct 0 out of 4
[185] Error : 47.63998, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 8 out of 100, Valid Correct 0 out of 4
[186] Error : 47.63997, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 8 out of 100, Valid Correct 0 out of 4
[187] Error : 47.63997, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 8 out of 100, Valid Correct 0 out of 4
[188] Error : 47.63997, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[189] Error : 47.63997, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 8 out of 100, Valid Correct 0 out of 4
[190] Error : 47.63998, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 8 out of 100, Valid Correct 0 out of 4
[191] Error : 47.63997, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 8 out of 100, Valid Correct 0 out of 4
[192] Error : 47.63998, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 8 out of 100, Valid Correct 0 out of 4
[193] Error : 47.63997, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 8 out of 100, Valid Correct 0 out of 4
[194] Error : 47.63998, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 8 out of 100, Valid Correct 0 out of 4
[195] Error : 47.63998, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 8 out of 100, Valid Correct 0 out of 4
[196] Error : 47.63998, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 8 out of 100, Valid Correct 0 out of 4
[197] Error : 47.63998, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 8 out of 100, Valid Correct 0 out of 4
[198] Error : 47.63998, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 8 out of 100, Valid Correct 0 out of 4
[199] Error : 47.63998, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 8 out of 100, Valid Correct 0 out of 4
[200] Error : 47.63998, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 8 out of 100, Valid Correct 0 out of 4
[201] Error : 47.63998, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 8 out of 100, Valid Correct 0 out of 4
[202] Error : 47.63999, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[203] Error : 47.63999, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[204] Error : 47.64000, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[205] Error : 47.64000, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[206] Error : 47.64000, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[207] Error : 47.63999, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[208] Error : 47.63999, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 7 out of 100, Valid Correct 0 out of 4
[209] Error : 47.63999, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 8 out of 100, Valid Correct 0 out of 4
[210] Error : 47.63999, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 8 out of 100, Valid Correct 0 out of 4
[211] Error : 47.63998, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 8 out of 100, Valid Correct 0 out of 4
[212] Error : 47.63998, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 9 out of 100, Valid Correct 0 out of 4
[213] Error : 47.64000, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 8 out of 100, Valid Correct 0 out of 4
[214] Error : 47.64000, Learning Rate : 0.01000, Decay Factor : 0.90000, Train Correct 8 out of 100, Valid Correct 0 out of 4
